Item,Qty,Reference(s),Value,Digi,Have,Power,Tolerance,Voltage
1,30,"C1, C5, C6, C7, C8, C9, C15, C16, C19",1u,445-6931-1-ND,,,,16V
2,25,"C2, C3, C10, C11, C12, C13, C14, C17, C18, C20",0.1u,1276-1019-1-ND,,,,16V
3,5,C4,10u,1276-6641-1-ND,,,,6.3V
4,10,"D1, D5, D6",V3FL45,V3FL45HM3/HGICT-ND,,,,
5,4,D2,5.6V,DDZ5V6BDICT-ND,,,,
6,4,D3,RED,754-1123-1-ND,,,,
7,4,D4,GREEN,754-1357-1-ND,,,,
8,10,F1,3A,P15118CT-ND,,,,
9,4,FB1,FB,490-1015-1-ND,,,,
10,2,J1,POWER,WM1860-ND,,,,
11,2,J2,CAN_CONN,WM1860-ND,,,,
12,3,J3,SWD,S9015E-03-ND,,,,
13,1,J4,THERM_CONN,WM1860-ND,,,,
14,3,L1,68uH,SRR1260-560MCT-ND,,,,
15,9,"Q1, Q4",Q_PMOS_DGS,SISS05DN-T1-GE3CT-ND,,,,
16,40,"R1, R3, R4, R5, R6, R7, R11, R12, R14, R15, R16, R17, R18, R20, R27, R29",1k,RMCF0603JJ1K00CT-ND,,,1%,
17,10,"R2, R19, R28",3k,RMCF0603FT3K00CT-ND,,,1%,
18,10,R8,270,A130470CT-ND,,1/4W,,
19,10,R9,30,2019-RK73H2ATTD30R0FCT-ND,,1/4W,,
20,10,"R10, R25",10,A130079CT-ND,,,,
21,10,R13,120,A129677CT-ND,,,,
22,10,R21,10k,RMCF0603FT1K00CT-ND,,,1%,
23,10,"R22, R23, R24, R26",0,2019-RK73Z1JTTDCT-ND,,,,
24,20,"R30, R31, R32, R33, R34, R35",1,A143800CT-ND,,,,
25,2,SW1,RESET,SW1020CT-ND,,,,
26,2,SW2,USER,SW1020CT-ND,,,,
27,3,U1,STM32F103TBU,497-18758-1-ND,Yes,,,
28,3,U2,MIC5283-3.3ML-TR,MIC5283-3.3YML-CT-ND,Yes,,,
29,5,U3,Op07DRZ,OP07DRZ-ND,Yes,,,
30,10,U4,TL391B,296-TL391BIDBVRCT-ND,,,,
31,3,U5,SN65HVD232,296-12282-5-ND,Yes,,,
32,10,U6,MCP1402T-E,MCP1402T-E/OTCT-ND,,,,
